,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
501,Bunnahabhain 2001,54.3,70,150
502,Bowmore 10 Year Old,40,100,49.95
503,Bunnahabhain Stiuireadair,46.3,70,38.45
504,Finlaggan Eilean Mor,46,70,45.95
505,Finlaggan Cask Strength Islay Malt,58,70,50.75
506,Bruichladdich Organic 2011,50,70,75.25
507,Ardbeg 25 Year Old,46,70,850
508,Cl14 - Elements of Islay,50.1,50,56.95
509,Bunnahabhain Aonadh 10 Year Old,56.2,70,110
510,Bunnahabhain 12 Year Old,46.3,20,16.95
511,Lagavulin 10 Year Old,43,70,79.95
512,Bunnahabhain Stiuireadair,46.3,20,13.95
513,Port Askaig 8 Year Old,45.8,70,46.95
514,Laphroaig Lore,48,70,67.95
515,Ileach Peaty,40,70,28.95
516,Ileach Cask Strength,58,70,43.95
517,Caol Ila 2010,57,70,108
518,Bruichladdich Bere Barley 2012,50,70,85.25
519,Bunnahabhain 11 Year Old,43,70,47.95
520,Kilchoman Machir Bay Gift Pack,46,70,49.95
521,Finlaggan Old Reserve,40,70,34.95
522,Laphroaig Select,40,70,33.45
523,Bunnahabhain 2012,63.8,70,105
524,Caol Ila 2010,56.5,70,99.95
525,Caol Ila 2013,46,70,46.95
526,Laphroaig Four Oak,40,100,64.95
527,Bunnahabhain Eirigh Na Greine,46.3,100,70.95
528,Lagavulin 1995 Distillers Edition,43,70,399
529,Bunnahabhain 2012,65.8,70,105
530,Mac-Talla Strata 15 Year Old,46,70,66.95
531,Port Askaig 8 Year Old Glass Set,45.8,70,49.95
532,Caol Ila 2010,57.3,70,108
533,Caol Ila 2010,54.6,70,115
534,Angels’ Nectar Islay Edition,46,70,49.45
535,Port Charlotte 2013 Islay Barley,50,70,68.95
536,Lagavulin 2003 Distillers Edition,43,70,175
537,Smokehead Rum Cask Rebel,46,70,53.95
538,Kilchoman Machir Bay,46,20,21.95
539,Oc3 - Elements of Islay,60.3,50,150
540,Lagavulin 1996 Distillers Edition,43,70,399
541,Ardbeg 1999 Galileo,49,70,500
542,Lagavulin 1991 Distillers Edition,43,70,550
543,Bowmore 25 Year Old,43,70,380
544,Bunnahabhain 2007,48.4,70,132
545,Unnamed Islay 1990,50.4,70,400
546,Bunnahabhain Staoisha 2013,56.7,70,68.95
547,Caol Ila 2010,46,70,68.95
548,Lg12 - Elements of Islay,55.4,50,135
549,Bunnahabhain 1998,49.7,70,399
550,Mac-Talla Mara Cask Strength,58.2,70,51.95
551,Bunnahabhain 30 Year Old,46.3,70,535
552,Ardbeg Traigh Bhan 19 Year Old,46.2,70,450
553,Laphroaig 25 Year Old,51.4,70,600
554,Bunnahabhain 1989,40.4,70,250
555,Ardbeg Grooves,46,70,250
556,Laphroaig 25 Year Old,48.9,70,700
557,Bowmore 26 Year Old Wine Cask,48.7,70,550
558,Kilchoman Sanaig,46,20,27.25
559,Lagavulin 12 Year Old,56.5,70,225
560,Ma1 – Elements of Islay,54.2,50,150
561,Lagavulin 1999 Distillers Edition,43,70,299
562,Lagavulin 1998 Distillers Edition,43,70,299
563,Ardbeg Kildalton,46,70,425
564,Ardbog (Ardbeg),52.1,70,399
565,Bunnahabhain 25 Year Old,46.3,70,399
566,Bunnahabhain Cruach-Mhona,50,100,80.95
567,Lochlea Fallow Edition,46,70,49.95
568,Auchentoshan Three Wood,43,70,49.95
569,Lochlea Harvest Edition,46,70,49.95
570,Glenkinchie 12 Year Old,43,70,41.95
571,Lindores Abbey Sherry Butts,49.4,70,59.45
